sch_name,sch_alias
广东石油化工学院,茂名石油工业公司职工大学
广东石油化工学院,茂名学院
滁州职业技术学院,滁州职业技术学院
河北农业大学现代科技学院,河北农业大学现代科技学院
淮安信息职业技术学院,淮安信息职业技术学院
重庆工程职业技术学院,工程职业技术学院
重庆工程职业技术学院,重庆工程职业技术学院
江西洪州职业学院,江西洪州职业学院
重庆电子工程职业学院,重庆电子工程职业学院
重庆电子工程职业学院,重庆职业技术学院
江苏安全技术职业学院,江苏安全技术职业学院
江苏安全技术职业学院,徐州机电工程高等职业学校
苏州百年职业学院,苏州百年职业学院
吉林水利电力职业学院,吉林水利电力职业学院
陆军工程大学,解放军陆军工程大学
陆军工程大学,陆军工程大学
三明医学科技职业学院,三明医学科技职业学院
三明医学科技职业学院,三明职业技术学院
长春健康职业学院,长春健康职业学院
曹妃甸职业技术学院,曹妃甸职业技术学院
天津体育职业学院,天津体育职业学院
江苏旅游职业学院,江苏旅游职业学院
三门峡社会管理职业学院,三门峡社会管理职业学院
河南轻工职业学院,河南轻工职业学院
河南测绘职业学院,河南测绘职业学院
深圳北理莫斯科大学,深圳北理莫斯科大学
三亚中瑞酒店管理职业学院,三亚中瑞酒店管理职业学院
云南工贸职业技术学院,云南工贸职业技术学院
云南交通运输职业学院,云南交通运输职业学院
贵州经贸职业技术学院,贵州经贸职业技术学院
贵州护理职业技术学院,贵州护理职业技术学院
茅台学院,茅台学院
博尔塔拉职业技术学院,博尔塔拉职业技术学院
贵州警察学院,贵州警察学院
滇西应用技术大学,滇西应用技术大学
云南民族大学澜湄国际职业学院,云南民族大学澜湄国际职业学院
云南特殊教育职业学院,云南特殊教育职业学院
浙江科贸职业技术学院,浙江科贸职业技术学院
惠州工程职业学院,惠州工程职业学院
广东江门中医药职业学院,广东江门中医药职业学院
广西安全工程职业技术学院,广西安全工程职业技术学院
濮阳医学高等专科学校,濮阳医学高等专科学校
抚州幼儿师范高等专科学校,崇仁师范学校
抚州幼儿师范高等专科学校,东华理工大学行知分院
抚州幼儿师范高等专科学校,抚州幼儿师范高等专科学校
抚州幼儿师范高等专科学校,抚州幼儿师范高等专科学校
上饶幼儿师范高等专科学校,上饶师范学校
上饶幼儿师范高等专科学校,上饶师范学院小教分院
上饶幼儿师范高等专科学校,上饶幼儿师范高等专科学校
上饶幼儿师范高等专科学校,上饶幼儿师范高等专科学校
上饶幼儿师范高等专科学校,万年师范学校
广东酒店管理职业技术学院,广东酒店管理职业技术学院
大连汽车职业技术学院,大连汽车职业技术学院
无锡工艺职业技术学院,无锡工艺职业技术学院
昌吉职业技术学院,昌吉职业技术学院
昌吉职业技术学院,新疆昌吉职业技术学院
山东科技职业学院,山东科技职业学院
厦门工学院,华侨大学厦门工学院
厦门工学院,厦门工学院
哈尔滨远东理工学院,哈尔滨理工大学远东学院
哈尔滨远东理工学院,哈尔滨远东理工学院
华侨大学,国立华侨大学
华侨大学,华侨大学
华侨大学,泉州华侨大学
